Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TMV,TMV,TMV,TMV,TMV,TMV
Date,,,,,,
2017-04-17 00:00:00+00:00,47.400978088378906,52.32500076293945,52.67499923706055,51.849998474121094,51.92499923706055,235720
2017-04-18 00:00:00+00:00,45.634490966796875,50.375,51.79999923706055,50.0,51.45000076293945,520680
2017-04-19 00:00:00+00:00,46.33655548095703,51.150001525878906,51.57500076293945,51.025001525878906,51.099998474121094,628800
2017-04-20 00:00:00+00:00,46.83480453491211,51.70000076293945,52.25,51.32500076293945,51.54999923706055,263040
2017-04-21 00:00:00+00:00,46.925376892089844,51.79999923706055,51.82500076293945,50.900001525878906,51.42499923706055,296880
2017-04-24 00:00:00+00:00,47.58216094970703,52.525001525878906,53.125,52.275001525878906,52.974998474121094,379560
2017-04-25 00:00:00+00:00,49.30335235595703,54.42499923706055,54.5,53.125,53.45000076293945,338760
2017-04-26 00:00:00+00:00,48.53335189819336,53.57500076293945,54.45000076293945,53.5,54.32500076293945,274200
2017-04-27 00:00:00+00:00,48.48805236816406,53.525001525878906,54.224998474121094,53.25,53.974998474121094,195160
2017-04-28 00:00:00+00:00,48.19363784790039,53.20000076293945,54.29999923706055,53.125,54.224998474121094,299880
2017-05-01 00:00:00+00:00,49.439239501953125,54.57500076293945,55.04999923706055,53.150001525878906,53.79999923706055,347320
2017-05-02 00:00:00+00:00,48.71452331542969,53.775001525878906,54.724998474121094,53.599998474121094,54.650001525878906,205280
2017-05-03 00:00:00+00:00,48.578643798828125,53.625,53.900001525878906,52.849998474121094,53.07500076293945,504280
2017-05-04 00:00:00+00:00,49.25806427001953,54.375,55.07500076293945,54.375,54.625,448360
2017-05-05 00:00:00+00:00,49.14482879638672,54.25,54.775001525878906,54.04999923706055,54.150001525878906,258480
2017-05-08 00:00:00+00:00,49.93749237060547,55.125,55.275001525878906,54.5,54.5,305960
2017-05-09 00:00:00+00:00,50.00543212890625,55.20000076293945,55.79999923706055,55.17499923706055,55.5,248440
2017-05-10 00:00:00+00:00,50.16395950317383,55.375,55.775001525878906,54.54999923706055,54.75,240640
2017-05-11 00:00:00+00:00,50.18660354614258,55.400001525878906,56.150001525878906,55.224998474121094,56.0,227120
2017-05-12 00:00:00+00:00,49.05424118041992,54.150001525878906,54.67499923706055,53.974998474121094,54.625,300640
2017-05-15 00:00:00+00:00,49.371299743652344,54.5,54.92499923706055,54.349998474121094,54.54999923706055,175960
2017-05-16 00:00:00+00:00,48.89570617675781,53.974998474121094,54.474998474121094,53.42499923706055,54.474998474121094,667680
2017-05-17 00:00:00+00:00,46.76685333251953,51.625,52.75,51.25,52.42499923706055,903400
2017-05-18 00:00:00+00:00,46.563026428222656,51.400001525878906,51.70000076293945,50.775001525878906,51.0,316680
2017-05-19 00:00:00+00:00,46.313907623291016,51.125,51.95000076293945,51.0,51.525001525878906,254480
2017-05-22 00:00:00+00:00,46.65361785888672,51.5,51.625,51.275001525878906,51.474998474121094,267800
2017-05-23 00:00:00+00:00,47.58216094970703,52.525001525878906,52.599998474121094,51.17499923706055,51.29999923706055,272600
2017-05-24 00:00:00+00:00,46.78950500488281,51.650001525878906,52.525001525878906,51.599998474121094,52.150001525878906,263560
2017-05-25 00:00:00+00:00,46.69890594482422,51.54999923706055,52.224998474121094,51.54999923706055,51.92499923706055,157280
2017-05-26 00:00:00+00:00,46.51773452758789,51.349998474121094,51.599998474121094,51.0,51.20000076293945,198320
2017-05-30 00:00:00+00:00,45.8156623840332,50.57500076293945,50.974998474121094,50.5,50.67499923706055,196480
2017-05-31 00:00:00+00:00,45.453304290771484,50.17499923706055,50.599998474121094,49.875,50.599998474121094,311720
2017-06-01 00:00:00+00:00,45.49859619140625,50.224998474121094,50.75,50.125,50.70000076293945,291400
2017-06-02 00:00:00+00:00,43.8453369140625,48.400001525878906,49.07500076293945,48.224998474121094,48.875,502720
2017-06-05 00:00:00+00:00,44.683292388916016,49.32500076293945,49.349998474121094,48.92499923706055,49.275001525878906,172560
2017-06-06 00:00:00+00:00,43.981224060058594,48.54999923706055,48.57500076293945,48.07500076293945,48.275001525878906,413360
2017-06-07 00:00:00+00:00,44.52476501464844,49.150001525878906,49.29999923706055,48.474998474121094,48.849998474121094,420000
2017-06-08 00:00:00+00:00,44.93241500854492,49.599998474121094,49.875,49.20000076293945,49.224998474121094,322480
2017-06-09 00:00:00+00:00,45.1362419128418,49.82500076293945,50.29999923706055,49.525001525878906,50.125,285560
2017-06-12 00:00:00+00:00,45.1815299987793,49.875,50.099998474121094,49.775001525878906,50.04999923706055,212120
2017-06-13 00:00:00+00:00,45.068302154541016,49.75,50.32500076293945,49.650001525878906,50.224998474121094,138200
2017-06-14 00:00:00+00:00,43.0753288269043,47.54999923706055,48.17499923706055,47.099998474121094,48.0,623520
2017-06-15 00:00:00+00:00,43.18857192993164,47.67499923706055,48.025001525878906,47.474998474121094,47.79999923706055,232440
2017-06-16 00:00:00+00:00,42.984737396240234,47.45000076293945,47.82500076293945,47.349998474121094,47.724998474121094,174080
2017-06-19 00:00:00+00:00,43.14326858520508,47.625,47.79999923706055,47.32500076293945,47.45000076293945,240480
2017-06-20 00:00:00+00:00,41.98825454711914,46.349998474121094,46.974998474121094,46.25,46.974998474121094,267400
2017-06-21 00:00:00+00:00,41.78443145751953,46.125,46.82500076293945,46.0,46.57500076293945,196320
2017-06-22 00:00:00+00:00,41.467369079589844,45.775001525878906,46.349998474121094,45.75,45.900001525878906,194600
2017-06-23 00:00:00+00:00,41.55795669555664,45.875,46.25,45.724998474121094,46.224998474121094,189880
2017-06-26 00:00:00+00:00,41.03706359863281,45.29999923706055,45.45000076293945,45.0,45.32500076293945,257200
2017-06-27 00:00:00+00:00,42.350608825683594,46.75,47.07500076293945,46.150001525878906,46.25,285760
2017-06-28 00:00:00+00:00,42.82621383666992,47.275001525878906,47.79999923706055,47.025001525878906,47.04999923706055,304720
2017-06-29 00:00:00+00:00,43.89064025878906,48.45000076293945,49.025001525878906,48.125,48.875,436600
2017-06-30 00:00:00+00:00,44.20769500732422,48.79999923706055,49.099998474121094,48.5,48.75,268680
2017-07-03 00:00:00+00:00,44.751243591308594,49.400001525878906,49.79999923706055,48.599998474121094,48.650001525878906,361760
2017-07-05 00:00:00+00:00,44.63800048828125,49.275001525878906,49.67499923706055,49.04999923706055,49.54999923706055,321480
2017-07-06 00:00:00+00:00,45.70242691040039,50.45000076293945,51.07500076293945,50.25,50.400001525878906,369520
2017-07-07 00:00:00+00:00,46.51773452758789,51.349998474121094,51.525001525878906,51.0,51.25,291120
2017-07-10 00:00:00+00:00,46.35919189453125,51.17499923706055,51.42499923706055,50.900001525878906,51.125,187840
2017-07-11 00:00:00+00:00,46.04214096069336,50.82500076293945,51.375,50.625,51.17499923706055,329960
2017-07-12 00:00:00+00:00,45.1362419128418,49.82500076293945,50.400001525878906,49.724998474121094,49.875,451520
2017-07-13 00:00:00+00:00,45.99683380126953,50.775001525878906,51.224998474121094,50.25,50.25,467920
2017-07-14 00:00:00+00:00,45.860958099365234,50.625,50.849998474121094,49.57500076293945,49.650001525878906,243000
2017-07-17 00:00:00+00:00,45.4306640625,50.150001525878906,50.67499923706055,49.82500076293945,50.57500076293945,182280
2017-07-18 00:00:00+00:00,44.25299072265625,48.849998474121094,49.474998474121094,48.849998474121094,49.25,480760
2017-07-19 00:00:00+00:00,44.25299072265625,48.849998474121094,49.099998474121094,48.599998474121094,48.82500076293945,137880
2017-07-20 00:00:00+00:00,43.8000373840332,48.349998474121094,48.625,47.75,48.025001525878906,254680
2017-07-21 00:00:00+00:00,43.32444763183594,47.82500076293945,47.92499923706055,47.400001525878906,47.75,258560
2017-07-24 00:00:00+00:00,43.7547492980957,48.29999923706055,48.400001525878906,47.82500076293945,48.04999923706055,244000
2017-07-25 00:00:00+00:00,45.49859619140625,50.224998474121094,50.32500076293945,49.525001525878906,49.54999923706055,651280
2017-07-26 00:00:00+00:00,45.31742477416992,50.025001525878906,50.849998474121094,49.625,50.650001525878906,371640
2017-07-27 00:00:00+00:00,45.92889404296875,50.70000076293945,51.150001525878906,50.474998474121094,50.75,242200
2017-07-28 00:00:00+00:00,45.1362419128418,49.82500076293945,50.650001525878906,49.724998474121094,50.650001525878906,233840
2017-07-31 00:00:00+00:00,45.0003547668457,49.67499923706055,50.400001525878906,49.625,50.29999923706055,215920
2017-08-01 00:00:00+00:00,44.04916763305664,48.625,50.349998474121094,48.57500076293945,50.32500076293945,681320
2017-08-02 00:00:00+00:00,43.95858383178711,48.525001525878906,48.57500076293945,48.025001525878906,48.5,452760
2017-08-03 00:00:00+00:00,42.62237548828125,47.04999923706055,47.95000076293945,47.025001525878906,47.95000076293945,487360
2017-08-04 00:00:00+00:00,43.8000373840332,48.349998474121094,48.82500076293945,47.974998474121094,48.025001525878906,998480
2017-08-07 00:00:00+00:00,43.57356643676758,48.099998474121094,48.625,48.07500076293945,48.400001525878906,191040
2017-08-08 00:00:00+00:00,44.02652359008789,48.599998474121094,49.150001525878906,48.25,48.32500076293945,325000
2017-08-09 00:00:00+00:00,43.369747161865234,47.875,47.95000076293945,47.04999923706055,47.150001525878906,614960
2017-08-10 00:00:00+00:00,42.21472930908203,46.599998474121094,47.57500076293945,46.57500076293945,47.5,566320
2017-08-11 00:00:00+00:00,42.19207763671875,46.57500076293945,47.5,46.5,47.224998474121094,267960
2017-08-14 00:00:00+00:00,42.780906677246094,47.224998474121094,47.32500076293945,46.724998474121094,47.0,218160
2017-08-15 00:00:00+00:00,43.32444763183594,47.82500076293945,48.5,47.54999923706055,48.474998474121094,176600
2017-08-16 00:00:00+00:00,42.939449310302734,47.400001525878906,48.400001525878906,47.0,48.349998474121094,246240
2017-08-17 00:00:00+00:00,41.942962646484375,46.29999923706055,47.54999923706055,46.275001525878906,47.375,239440
2017-08-18 00:00:00+00:00,41.98825454711914,46.349998474121094,46.70000076293945,45.75,45.95000076293945,246360
2017-08-21 00:00:00+00:00,41.67118835449219,46.0,46.42499923706055,45.875,46.099998474121094,442200
2017-08-22 00:00:00+00:00,42.19207763671875,46.57500076293945,46.67499923706055,46.099998474121094,46.099998474121094,272240
2017-08-23 00:00:00+00:00,41.28618621826172,45.57500076293945,46.125,45.54999923706055,45.875,447520
2017-08-24 00:00:00+00:00,41.7391357421875,46.07500076293945,46.20000076293945,45.54999923706055,46.025001525878906,148000
2017-08-25 00:00:00+00:00,41.26354217529297,45.54999923706055,46.025001525878906,45.400001525878906,45.900001525878906,457880
2017-08-28 00:00:00+00:00,41.3541259765625,45.650001525878906,46.17499923706055,45.474998474121094,45.974998474121094,137640
2017-08-29 00:00:00+00:00,40.90118408203125,45.150001525878906,45.54999923706055,44.275001525878906,44.349998474121094,518440
2017-08-30 00:00:00+00:00,41.01441955566406,45.275001525878906,45.5,45.125,45.375,158280
2017-08-31 00:00:00+00:00,40.60676193237305,44.82500076293945,45.275001525878906,44.79999923706055,45.224998474121094,207920
2017-09-01 00:00:00+00:00,41.535308837890625,45.849998474121094,46.17499923706055,45.275001525878906,45.275001525878906,503240
2017-09-05 00:00:00+00:00,39.58762741088867,43.70000076293945,44.849998474121094,43.67499923706055,44.849998474121094,1036840
2017-09-06 00:00:00+00:00,40.31234359741211,44.5,44.724998474121094,43.45000076293945,43.724998474121094,540880
2017-09-07 00:00:00+00:00,39.11203384399414,43.17499923706055,44.150001525878906,42.849998474121094,44.150001525878906,467960
2017-09-08 00:00:00+00:00,39.29322052001953,43.375,43.82500076293945,43.25,43.25,501320
2017-09-11 00:00:00+00:00,40.69735336303711,44.92499923706055,45.125,44.375,44.5,322680
2017-09-12 00:00:00+00:00,41.3541259765625,45.650001525878906,45.92499923706055,45.375,45.45000076293945,214480
2017-09-13 00:00:00+00:00,41.8297233581543,46.17499923706055,46.20000076293945,45.54999923706055,45.54999923706055,213960
2017-09-14 00:00:00+00:00,41.37677001953125,45.67499923706055,46.17499923706055,45.625,46.17499923706055,164960
2017-09-15 00:00:00+00:00,41.3088264465332,45.599998474121094,45.92499923706055,45.375,45.375,129520
2017-09-18 00:00:00+00:00,41.98825454711914,46.349998474121094,46.70000076293945,45.900001525878906,45.95000076293945,206200
2017-09-19 00:00:00+00:00,42.28266906738281,46.67499923706055,46.79999923706055,46.150001525878906,46.224998474121094,157120
2017-09-20 00:00:00+00:00,42.23737716674805,46.625,47.275001525878906,46.349998474121094,46.625,359000
2017-09-21 00:00:00+00:00,42.28266906738281,46.67499923706055,46.70000076293945,45.95000076293945,46.400001525878906,170120
2017-09-22 00:00:00+00:00,41.920318603515625,46.275001525878906,46.474998474121094,45.724998474121094,45.974998474121094,163400
2017-09-25 00:00:00+00:00,41.105003356933594,45.375,46.29999923706055,45.150001525878906,46.150001525878906,456680
2017-09-26 00:00:00+00:00,41.37677001953125,45.67499923706055,46.04999923706055,45.57500076293945,45.70000076293945,268600
2017-09-27 00:00:00+00:00,43.25651168823242,47.75,48.025001525878906,47.275001525878906,47.67499923706055,477760
2017-09-28 00:00:00+00:00,43.66416549682617,48.20000076293945,48.75,48.0,48.5,262560
2017-09-29 00:00:00+00:00,43.32444763183594,47.82500076293945,48.42499923706055,47.57500076293945,47.875,294880
2017-10-02 00:00:00+00:00,43.61887741088867,48.150001525878906,48.17499923706055,47.32500076293945,47.525001525878906,236360
2017-10-03 00:00:00+00:00,43.4603271484375,47.974998474121094,48.599998474121094,47.875,48.525001525878906,158000
2017-10-04 00:00:00+00:00,43.48298263549805,48.0,48.599998474121094,47.775001525878906,47.82500076293945,219960
2017-10-05 00:00:00+00:00,43.981224060058594,48.54999923706055,48.79999923706055,48.125,48.125,204240
2017-10-06 00:00:00+00:00,44.32093811035156,48.92499923706055,49.599998474121094,48.375,49.29999923706055,261760
2017-10-09 00:00:00+00:00,43.95858383178711,48.525001525878906,48.900001525878906,48.400001525878906,48.79999923706055,67160
2017-10-10 00:00:00+00:00,43.73210525512695,48.275001525878906,48.45000076293945,47.45000076293945,48.275001525878906,658960
2017-10-11 00:00:00+00:00,43.4603271484375,47.974998474121094,48.150001525878906,47.724998474121094,47.849998474121094,484560
2017-10-12 00:00:00+00:00,42.89414978027344,47.349998474121094,48.17499923706055,47.349998474121094,47.79999923706055,519960
2017-10-13 00:00:00+00:00,41.965606689453125,46.32500076293945,47.125,46.275001525878906,46.650001525878906,642120
2017-10-16 00:00:00+00:00,42.05619430541992,46.42499923706055,46.875,46.29999923706055,46.67499923706055,244760
2017-10-17 00:00:00+00:00,41.89765930175781,46.25,46.849998474121094,46.099998474121094,46.849998474121094,137280
2017-10-18 00:00:00+00:00,42.80356216430664,47.25,47.650001525878906,47.125,47.25,208720
2017-10-19 00:00:00+00:00,42.53179931640625,46.95000076293945,46.95000076293945,46.20000076293945,46.42499923706055,952680
2017-10-20 00:00:00+00:00,43.89064025878906,48.45000076293945,48.849998474121094,48.17499923706055,48.400001525878906,665000
2017-10-23 00:00:00+00:00,43.68680953979492,48.224998474121094,48.42499923706055,47.875,48.32500076293945,568960
2017-10-24 00:00:00+00:00,44.47946548461914,49.099998474121094,49.42499923706055,48.79999923706055,49.150001525878906,313720
2017-10-25 00:00:00+00:00,45.15888214111328,49.849998474121094,50.29999923706055,49.650001525878906,50.17499923706055,597760
2017-10-26 00:00:00+00:00,45.54389572143555,50.275001525878906,50.32500076293945,49.525001525878906,49.525001525878906,222320
2017-10-27 00:00:00+00:00,44.70594024658203,49.349998474121094,49.900001525878906,49.25,49.625,472440
2017-10-30 00:00:00+00:00,43.369747161865234,47.875,49.625,47.875,49.625,533000
2017-10-31 00:00:00+00:00,43.369747161865234,47.875,47.92499923706055,47.67499923706055,47.775001525878906,230480
2017-11-01 00:00:00+00:00,42.84885787963867,47.29999923706055,47.75,46.79999923706055,47.625,341920
2017-11-02 00:00:00+00:00,42.21472930908203,46.599998474121094,47.04999923706055,46.375,46.974998474121094,224960
2017-11-03 00:00:00+00:00,41.8297233581543,46.17499923706055,46.775001525878906,46.150001525878906,46.400001525878906,371800
2017-11-06 00:00:00+00:00,41.3541259765625,45.650001525878906,46.125,45.599998474121094,45.900001525878906,188200
2017-11-07 00:00:00+00:00,40.923828125,45.17499923706055,45.67499923706055,44.974998474121094,45.599998474121094,273880
2017-11-08 00:00:00+00:00,41.21824645996094,45.5,45.57500076293945,44.974998474121094,45.224998474121094,184200
2017-11-09 00:00:00+00:00,41.51265335083008,45.82500076293945,46.29999923706055,45.599998474121094,45.95000076293945,218600
2017-11-10 00:00:00+00:00,43.39239501953125,47.900001525878906,48.025001525878906,47.099998474121094,47.25,674280
2017-11-13 00:00:00+00:00,43.09797286987305,47.57500076293945,47.650001525878906,47.07500076293945,47.07500076293945,170000
2017-11-14 00:00:00+00:00,42.26002502441406,46.650001525878906,47.150001525878906,46.57500076293945,47.07500076293945,152720
2017-11-15 00:00:00+00:00,40.90118408203125,45.150001525878906,46.150001525878906,45.025001525878906,45.650001525878906,594640
2017-11-16 00:00:00+00:00,41.98825454711914,46.349998474121094,46.349998474121094,45.400001525878906,45.724998474121094,210240
2017-11-17 00:00:00+00:00,41.01441955566406,45.275001525878906,45.775001525878906,45.25,45.70000076293945,216440
2017-11-20 00:00:00+00:00,41.03706359863281,45.29999923706055,45.82500076293945,45.29999923706055,45.82500076293945,166240
2017-11-21 00:00:00+00:00,40.742652893066406,44.974998474121094,45.349998474121094,44.32500076293945,44.599998474121094,349600
2017-11-22 00:00:00+00:00,40.334999084472656,44.525001525878906,45.150001525878906,44.45000076293945,45.0,355160
2017-11-24 00:00:00+00:00,40.62941360473633,44.849998474121094,44.974998474121094,44.625,44.75,71960
2017-11-27 00:00:00+00:00,40.78794479370117,45.025001525878906,45.25,44.625,44.82500076293945,196120
2017-11-28 00:00:00+00:00,40.65205764770508,44.875,45.17499923706055,44.474998474121094,44.875,347880
2017-11-29 00:00:00+00:00,41.8297233581543,46.17499923706055,46.650001525878906,46.025001525878906,46.224998474121094,913400
2017-11-30 00:00:00+00:00,42.23737716674805,46.625,47.400001525878906,46.224998474121094,46.474998474121094,422040
2017-12-01 00:00:00+00:00,40.60676193237305,44.82500076293945,46.42499923706055,43.54999923706055,45.54999923706055,1127760
2017-12-04 00:00:00+00:00,40.44823455810547,44.650001525878906,45.54999923706055,44.650001525878906,45.400001525878906,679960
2017-12-05 00:00:00+00:00,39.927337646484375,44.07500076293945,44.849998474121094,43.82500076293945,44.849998474121094,609440
2017-12-06 00:00:00+00:00,39.564979553222656,43.67499923706055,43.67499923706055,43.04999923706055,43.42499923706055,673680
2017-12-07 00:00:00+00:00,40.38029098510742,44.57500076293945,45.04999923706055,43.20000076293945,43.375,330440
2017-12-08 00:00:00+00:00,40.42558288574219,44.625,45.04999923706055,44.625,44.775001525878906,544280
2017-12-11 00:00:00+00:00,40.720008850097656,44.95000076293945,44.95000076293945,44.224998474121094,44.474998474121094,485120
2017-12-12 00:00:00+00:00,40.720008850097656,44.95000076293945,45.67499923706055,44.92499923706055,45.17499923706055,608960
2017-12-13 00:00:00+00:00,39.83675765991211,43.974998474121094,44.724998474121094,43.875,44.525001525878906,839440
2017-12-14 00:00:00+00:00,39.27056121826172,43.349998474121094,44.525001525878906,43.275001525878906,44.25,401760
2017-12-15 00:00:00+00:00,38.88555908203125,42.92499923706055,43.70000076293945,42.67499923706055,43.45000076293945,413680
2017-12-18 00:00:00+00:00,39.927337646484375,44.07500076293945,44.349998474121094,43.17499923706055,43.17499923706055,859880
2017-12-19 00:00:00+00:00,41.42207336425781,45.724998474121094,46.275001525878906,44.92499923706055,44.974998474121094,652040
2017-12-20 00:00:00+00:00,42.87150192260742,47.32500076293945,47.5,46.70000076293945,47.099998474121094,490360
2017-12-21 00:00:00+00:00,42.19207763671875,46.57500076293945,47.17499923706055,46.20000076293945,47.150001525878906,651600
2017-12-22 00:00:00+00:00,41.98825454711914,46.349998474121094,46.599998474121094,46.25,46.375,299720
2017-12-26 00:00:00+00:00,41.648536682128906,45.974998474121094,46.20000076293945,45.474998474121094,46.07500076293945,207200
2017-12-27 00:00:00+00:00,39.97263717651367,44.125,45.349998474121094,43.900001525878906,45.29999923706055,592000
2017-12-28 00:00:00+00:00,40.063228607177734,44.224998474121094,44.54999923706055,44.07500076293945,44.32500076293945,318440
2017-12-29 00:00:00+00:00,39.927337646484375,44.07500076293945,44.42499923706055,43.775001525878906,44.375,343560
2018-01-02 00:00:00+00:00,41.17294692993164,45.45000076293945,45.900001525878906,44.375,44.375,372320
2018-01-03 00:00:00+00:00,40.60676193237305,44.82500076293945,45.45000076293945,44.70000076293945,44.95000076293945,202040
2018-01-04 00:00:00+00:00,40.67470169067383,44.900001525878906,45.599998474121094,44.724998474121094,45.32500076293945,181560
